text,label
quantum mechanic fundamental theory describes behavior nature scale atom foundation quantum physic includes quantum chemistry quantum field theory quantum technology quantum information science quantum mechanic describe many system classical physic,Quantum Mechanics
classical physic describe many aspect nature ordinary macroscopic optical microscopic scale sufficient describing small submicroscopic atomic subatomic scale,Quantum Mechanics
theory classical physic derived quantum mechanic approximation valid large macroscopicmicroscopic scale quantum system bound state quantized discrete value energy momentum angular momentum quantity contrast classical system quantity measured continuously,Quantum Mechanics
measurement quantum system show characteristic particle wave waveparticle duality limit accurately value physical quantity predicted prior measurement given complete set initial condition uncertainty principle quantum mechanic arose gradually theory explain observation could reconciled classical physic max planck solution blackbody radiation problem correspondence energy frequency albert einstein paper explained photoelectric effect,Quantum Mechanics
early attempt understand microscopic phenomenon known old quantum theory led full development quantum mechanic mids niels bohr erwin schrdinger werner heisenberg max born paul dirac others,Quantum Mechanics
modern theory formulated various specially developed mathematical formalism,Quantum Mechanics
one mathematical entity called wave function provides information form probability amplitude measurement particle energy momentum physical property may yield overview fundamental concept quantum mechanic allows calculation property behaviour physical system,Quantum Mechanics
typically applied microscopic system molecule atom subatomic particle,Quantum Mechanics
demonstrated hold complex molecule thousand atom application human being raise philosophical problem wigner friend application universe whole remains speculative,Quantum Mechanics
prediction quantum mechanic verified experimentally extremely high degree accuracy,Quantum Mechanics
example refinement quantum mechanic interaction light matter known quantum electrodynamics qed shown agree experiment within part predicting magnetic property electron fundamental feature theory usually predict certainty happen give probability,Quantum Mechanics
mathematically probability found taking square absolute value complex number known probability amplitude,Quantum Mechanics
known born rule named physicist max born,Quantum Mechanics
example quantum particle like electron described wave function associate point space probability amplitude,Quantum Mechanics
applying born rule amplitude give probability density function position electron found experiment performed measure,Quantum Mechanics
best theory say certain electron found,Quantum Mechanics
schrdinger equation relates collection probability amplitude pertain one moment time collection probability amplitude pertain another one consequence mathematical rule quantum mechanic tradeoff predictability measurable quantity,Quantum Mechanics
famous form uncertainty principle say matter quantum particle prepared carefully experiment upon arranged impossible precise prediction measurement position also time measurement momentum another consequence mathematical rule quantum mechanic phenomenon quantum interference often illustrated doubleslit experiment,Quantum Mechanics
